the_geom,OBJECTID,date no time,Month-num,Month,Helper,Year,Rainfall in mm,date_,country,nearest_pl,hazard_typ,landslide_,trigger,fatalities,injuries,location_a,landslide1,near,distance,State,,population,latitude,longitude
POINT (77.59140000000015 32.7334000000001),13,8/12/2007,8,Aug,Himachal Pradesh 2007,2007,234.3,08/12/2007 07:00:00 AM +0000,India,"Himachal Pradesh, all over",landslide,Landslide,Rain,11,0,Unknown,Medium,Kyelang,56.12845,Himachal Pradesh,,0,28.8254,96.1517
POINT (93.55000000000015 24.96670000000008),41,8/26/2007,8,Aug,Manipur 2007,2007,373.8,08/26/2007 07:00:00 AM +0000,India,Tamenglong,landslide,Mudslide,Continuous_rain,1,0,Known_within_5_km,Medium,Imphal,43.53546,Manipur,,0,28.8254,96.1509
POINT (93.43330000000012 24.75000000000008),44,10/21/2007,10,Oct,Assam 2007,2007,164.7,10/21/2007 07:00:00 AM +0000,India,National Highway 53 at Nungba in Tamenglong district of Manipur,landslide,Landslide,Rain,0,0,Known_within_15_km,Medium,Lakhipur,43.16287,Assam,,25000,33.303,77.8876
POINT (93.96670000000015 25.1333000000001),71,8/31/2007,8,Aug,Manipur 2007,2007,373.8,08/31/2007 07:00:00 AM +0000,India,"Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)",landslide,Landslide,Rain,0,0,Known_within_25_km,Medium,Imphal,36.09995,Manipur,,1495,32.2278,78.071
POINT (94.06910000000013 24.24510000000006),95,9/10/2007,9,Sep,Manipur 2007,2007,426.6,09/10/2007 07:00:00 AM +0000,India,Wamkhu village along the Tengnoupal-Joupi road in Chandel district,landslide,Landslide,Rain,0,0,Known_within_25_km,Medium,Kakching,29.41705,Manipur,,1495,32.219,78.072
POINT (93.98770000000016 25.060400000000097),105,9/8/2007,9,Sep,Manipur 2007,2007,426.6,09/08/2007 07:00:00 AM +0000,India,"Lower Shajouba village near Tadubi along NH 39, Manipur",landslide,Landslide,Rain,0,0,Known_within_50_km,Medium,Imphal,28.2961,Manipur,,37475,34.1491,76.826
POINT (94.11620000000015 25.437900000000095),121,10/19/2007,10,Oct,Nagaland 2007,2007,180.5,10/19/2007 07:00:00 AM +0000,India,"Maram-Purul Road, Karong Assembly Constituency of Senapati district, Manipur",landslide,Landslide,Rain,0,0,Known_within_50_km,Medium,Kohima,26.23523,Nagaland,,14927,28.4659,95.86
POINT (92.83390000000017 25.29460000000008),142,8/26/2007,8,Aug,Assam 2007,2007,308,08/26/2007 07:00:00 AM +0000,India,Shillong Road at Kuliang in the Jaintia Hills,landslide,Landslide,Rain,0,0,Unknown,Medium,Haflong,23.42741,Assam,,7121,27.4888,93.0153
POINT (93.91360000000012 25.74280000000007),167,8/28/2007,8,Aug,Nagaland 2007,2007,373.8,08/28/2007 07:00:00 AM +0000,India,Phesema area at National Highway 39,landslide,Landslide,Rain,1,0,Known_within_50_km,Medium,Kohima,21.1995,Nagaland,,14927,28.4298,95.8776
POINT (94.11920000000012 25.499300000000087),190,9/9/2007,9,Sep,Nagaland 2007,2007,426.6,09/09/2007 07:00:00 AM +0000,India,"Mao in Manipur, Phipema and Chunikhudima in Nagaland",landslide,Landslide,Rain,0,0,Known_within_25_km,Medium,Kohima,19.44563,Nagaland,,7121,27.7,92.8
POINT (91.88000000000014 25.380000000000077),193,7/26/2007,7,Jul,Meghalaya 2007,2007,682.7,07/26/2007 07:00:00 AM +0000,India,Singtam,landslide,Landslide,Rain,0,0,Known_within_50_km,Medium,Cherrapunji,19.36242,Meghalaya,,13893,27.8997,93.3497
POINT (74.33330000000014 33.87780000000007),221,3/19/2007,3,Mar,Kashmir 2007,2007,259.3,03/19/2007 07:00:00 AM +0000,India,Doba,landslide,Landslide,Rain,2,0,Known_within_25_km,Medium,Kupwara,18.10887,Kashmir,,0,27.8837,93.0515
POINT (88.28160000000017 27.287200000000066),266,9/18/2007,9,Sep,Sikkim 2007,2007,458.6,09/18/2007 07:00:00 AM +0000,India,Geyzing-Jorethang road and Naya Bazar-Legship road,landslide,Landslide,Rain,0,0,Known_within_50_km,Medium,Namchi,16.10912,Sikkim,,14182,32.7334,77.5914
POINT (78.20340000000012 11.77920000000007),282,10/25/2007,10,Oct,Tamil Nadu 2007,2007,248.9,10/25/2007 07:00:00 AM +0000,India,Salem - Yercaud ghat road,landslide,Landslide,Rain,1,0,Known_within_15_km,Medium,Salem,14.97909,Tamil Nadu,,223523,25.0985,94.3619
POINT (73.5189000000001 16.96480000000004),331,6/25/2007,6,Jun,Maharashtra 2007,2007,442.1,06/25/2007 07:00:00 AM +0000,India,Ratnagiri,landslide,Landslide,Rain,18,0,Known_within_15_km,Medium,Lanja,11.96851,Maharashtra,,0,28.9986,94.8885
POINT (88.61930000000015 27.445900000000076),332,4/11/2007,4,Apr,Sikkim 2007,2007,160.1,04/11/2007 07:00:00 AM +0000,India,"Sikkim, 13 km north of Gangtok",landslide,Landslide,Downpour,0,0,Known_within_5_km,Medium,Mangan,11.92749,Sikkim,,18425,28.611,94.9829
POINT (94.05640000000015 24.427900000000044),358,9/11/2007,9,Sep,Manipur 2007,2007,426.6,09/11/2007 07:00:00 AM +0000,India,"NH-39 at Imphal-Moreh section, Lokchao largest event",landslide,Landslide,Rain,3,0,Known_within_50_km,Medium,Kakching,10.89373,Manipur,,13838,34.3951,75.6233
POINT (88.52600000000015 26.80960000000007),365,6/15/2007,6,Jun,Bengal 2007,2007,226.3,06/15/2007 07:00:00 AM +0000,India,National Highway 31A at Sevoke,landslide,Landslide,Rain,0,0,Known_within_25_km,Medium,Odlabari,10.70327,Bengal,,20553,33.6917,76.0412
POINT (92.69210000000012 24.129300000000082),371,9/29/2007,9,Sep,Mizoram 2007,2007,426.6,09/29/2007 07:00:00 AM +0000,India,"National Highway, 45 Aizwal (Mizoram)",landslide,Landslide,Rain,0,0,Known_within_50_km,Medium,Kolasib,10.56357,Mizoram,,2000,30.7351,79.0666
POINT (78.05010000000011 15.829400000000092),373,6/25/2007,6,Jun,Andhra Pradesh 2007,2007,208.2,06/25/2007 07:00:00 AM +0000,India,Kurnool,landslide,Landslide,Rain,0,0,Known_within_15_km,Medium,Ä?lampur,10.53686,Andhra Pradesh,,2000,30.7331,79.0685
POINT (73.6106000000001 26.22080000000008),374,8/14/2007,8,Aug,Rajasthan 2007,2007,167.9,08/14/2007 07:00:00 AM +0000,India,"Himachal Pradesh, Shimla district, Ghanvi village",landslide,Complex,Downpour,52,0,Known_within_50_km,Very_large,Bilara,10.50149,Rajasthan,,2000,30.7331,79.0685
POINT (94.01320000000013 25.705500000000054),377,10/16/2007,10,Oct,Nagaland 2007,2007,180.5,10/16/2007 07:00:00 AM +0000,India,"NH-39 at Piphema,  6 km towards Dimapur from Kohima in Nagaland",landslide,Landslide,Rain,0,0,Known_within_5_km,Large,Kohima,10.39298,Nagaland,,132842,25.3433,92.2897
POINT (74.91120000000014 34.0935000000001),384,3/12/2007,3,Mar,Kashmir 2007,2007,259.3,03/12/2007 07:00:00 AM +0000,India,Jammu-Srinagar highway,landslide,Landslide,Rain,2,0,Known_within_50_km,Medium,Srinagar,10.00335,Kashmir,,7121,27.2743,92.9064
POINT (92.89900000000014 22.533000000000094),397,7/30/2007,7,Jul,Mizoram 2007,2007,430,07/30/2007 07:00:00 AM +0000,India,Lawngtlai,landslide,Landslide,Downpour,0,0,Known_within_15_km,Medium,Saiha,9.62825,Mizoram,,0,31.587,78.315
POINT (80.61280000000012 16.62520000000008),425,6/25/2007,6,Jun,Andhra Pradesh 2007,2007,300.1,06/25/2007 07:00:00 AM +0000,India,Prakasam,landslide,Landslide,Rain,0,0,Unknown,Medium,Kondapalle,8.53133,Andhra Pradesh,,223523,24.9037,93.487
POINT (79.34900000000013 30.400000000000066),429,7/30/2007,7,Jul,Uttarakhand 2007,2007,522.9,07/30/2007 07:00:00 AM +0000,India,Chamoli,landslide,Landslide,Downpour,0,0,Known_within_50_km,Medium,Papalkoti,8.34102,Uttarakhand,,223523,25.1604,93.6795
POINT (75.82750000000011 11.273800000000062),488,6/25/2007,6,Jun,Kerala 2007,2007,705.9,06/25/2007 07:00:00 AM +0000,India,Kozhikode,landslide,Landslide,Rain,0,0,Known_within_50_km,Medium,Kozhikode,5.8806,Kerala,,1495,31.5699,78.2844
POINT (72.91040000000011 19.02980000000004),506,6/25/2007,6,Jun,Maharashtra 2007,2007,256.7,06/25/2007 07:00:00 AM +0000,India,Mumbai,landslide,Landslide,Rain,2,0,Known_within_25_km,Medium,Mumbai,5.589,Maharashtra,,132842,25.3612,92.2845
POINT (91.80000000000015 26.183300000000056),516,9/13/2007,9,Sep,Assam 2007,2007,494.7,09/13/2007 07:00:00 AM +0000,India,Guwahati,landslide,Landslide,Rain,0,0,Known_within_10_km,Medium,Dispur,5.28094,Assam,,223523,24.8961,93.4957
POINT (77.12360000000014 11.27770000000005),525,10/30/2007,10,Oct,Tamil Nadu 2007,2007,248.9,10/30/2007 07:00:00 AM +0000,India,"bridge between Coonoor and Barliar, Tamil Nadu",landslide,Landslide,Rain,2,0,Unknown,Medium,Annur,5.01776,Tamil Nadu,,2571,30.6945,79.0544
POINT (74.84810000000012 12.873300000000041),534,8/9/2007,8,Aug,Karnataka 2007,2007,980.4,08/09/2007 07:00:00 AM +0000,India,Mangalore,landslide,Landslide,Rain,0,0,Known_within_10_km,Medium,Mangalore,4.93601,Karnataka,,4157,27.8776,94.25
POINT (73.54460000000013 17.263400000000065),538,9/1/2007,9,Sep,Maharashtra 2007,2007,240.7,09/01/2007 07:00:00 AM +0000,India,Maharashta on Konkan Railway between Nivsur and Ratnagiri,landslide,Landslide,Rain,1,0,Unknown,Medium,Makhjan,4.76264,Maharashtra,,7176,24.9829,93.5063
POINT (76.07400000000014 11.709500000000059),573,6/25/2007,6,Jun,Kerala 2007,2007,705.9,06/25/2007 07:00:00 AM +0000,India,Wayanad,landslide,Landslide,Rain,4,0,Known_within_10_km,Medium,Panamaram,3.87096,Kerala,,7176,24.9786,93.5027
POINT (91.79860000000016 26.169900000000066),576,7/19/2007,7,Jul,Assam 2007,2007,682.7,07/19/2007 07:00:00 AM +0000,India,Guwahati,landslide,Landslide,Rain,6,0,Known_within_15_km,Medium,Dispur,3.80164,Assam,,92113,25.2745,94.0212
POINT (88.48830000000012 27.201000000000104),579,9/7/2007,9,Sep,Sikkim 2007,2007,458.6,09/07/2007 07:00:00 AM +0000,India,"National Highway 31A between Rangpo and Tarkhola, in East Sikkim",landslide,Landslide,Rain,0,0,Known_within_15_km,Large,Singtam,3.70067,Sikkim,,1495,31.5158,78.2619
POINT (78.49900000000015 17.389500000000073),582,8/13/2007,8,Aug,Andhra Pradesh 2007,2007,164.5,08/13/2007 07:00:00 AM +0000,India,Koti railway station,landslide,Landslide,Rain,0,0,Known_within_5_km,Medium,Gaddi Annaram,3.66644,Andhra Pradesh,,7176,24.9925,93.5
POINT (91.85060000000014 25.55760000000006),593,8/26/2007,8,Aug,Meghalaya 2007,2007,308,08/26/2007 07:00:00 AM +0000,India,National Highway No 44 at Sonarpur in Meghalaya,landslide,Complex,Rain,0,0,Unknown,Medium,Shillong,3.50078,Meghalaya,,37475,34.5628,77.6001
POINT (88.40890000000016 26.732400000000066),612,6/13/2007,6,Jun,Bengal 2007,2007,485.1,06/13/2007 07:00:00 AM +0000,India,"Indira Bypass, Amdo Golai",landslide,Landslide,Rain,0,0,Known_within_25_km,Small,Shiliguri,3.15411,Bengal,,12871,24.7505,93.4221
POINT (88.25480000000013 27.00960000000006),627,8/29/2007,8,Aug,Bengal 2007,2007,412.4,08/29/2007 07:00:00 AM +0000,India,"Ghayabari-Tindharia on National Highway 55, near Darjeeling hills",landslide,Landslide,Rain,0,0,Known_within_10_km,Medium,Darjiling,2.88137,Bengal,,7176,24.9926,93.4946
POINT (88.49090000000015 27.20840000000007),629,9/11/2007,9,Sep,Sikkim 2007,2007,458.6,09/11/2007 07:00:00 AM +0000,India,"National Highway 31A, between Singtam and Rangpo",landslide,Debris_Flow,Rain,0,0,Known_within_5_km,Medium,Singtam,2.84126,Sikkim,,0,28.9205,95.3429
POINT (83.9462000000001 21.464000000000077),641,9/23/2007,9,Sep,Orissa 2007,2007,401.7,09/23/2007 07:00:00 AM +0000,India,"NH6, Sambalpur town before Mahanadi bridge",landslide,Landslide,Rain,0,0,Known_within_15_km,Medium,Sambalpur,2.62739,Orissa,,223523,24.9667,93.55
POINT (79.14920000000014 18.431000000000058),653,6/25/2007,6,Jun,Andhra Pradesh 2007,2007,176.6,06/25/2007 07:00:00 AM +0000,India,Karimnagar,landslide,Landslide,Rain,10,0,Known_within_25_km,Medium,Karamnagar,2.36029,Andhra Pradesh,,64468,19.5178,83.1809
POINT (88.23740000000012 23.930400000000102),654,7/21/2007,7,Jul,Bengal 2007,2007,686.3,07/21/2007 07:00:00 AM +0000,India,Beldanga,landslide,Landslide,Rain,1,0,Known_within_50_km,Medium,Beldanga,2.35894,Bengal,,17123,31.0343,78.7248
POINT (88.45720000000014 27.08750000000006),662,9/20/2007,9,Sep,Bengal 2007,2007,459.9,09/20/2007 07:00:00 AM +0000,India,"Multiple places along 31A, Tarkhola area in Kalimpong district and Sevoke in WB",landslide,Landslide,Rain,0,0,Known_within_50_km,Medium,Kalimpang,2.26284,Bengal,,12871,24.75,93.4333
POINT (74.02530000000014 15.029600000000087),663,8/7/2007,8,Aug,Goa 2007,2007,980.2,08/07/2007 07:00:00 AM +0000,India,Canacona,landslide,Landslide,Rain,0,0,Known_within_10_km,Medium,Kankon,2.26279,Goa,,12871,24.7625,93.4341
POINT (88.62360000000015 27.342500000000054),672,9/10/2007,9,Sep,Sikkim 2007,2007,458.6,09/10/2007 07:00:00 AM +0000,India,Rhodong village near Rhey in East Sikkim,landslide,Landslide,Rain,0,0,Known_within_10_km,Medium,Gangtok,2.17536,Sikkim,,14927,28.0787,96.5243
POINT (92.96700000000013 22.479000000000067),678,7/30/2007,7,Jul,Mizoram 2007,2007,430,07/30/2007 07:00:00 AM +0000,India,Saiha,landslide,Landslide,Downpour,0,0,Known_within_15_km,Medium,Saiha,2.05477,Mizoram,,8797,24.8628,94.4182
POINT (88.38000000000014 27.149900000000088),683,7/16/2007,7,Jul,Sikkim 2007,2007,686.3,07/16/2007 07:00:00 AM +0000,India,Bardang near Singtam,landslide,Mudslide,Rain,0,0,Known_within_15_km,Medium,Namchi,2.01104,Sikkim,,14182,32.7571,77.4138
POINT (78.30270000000016 30.07020000000009),684,8/11/2007,8,Aug,Uttarakhand 2007,2007,502.8,08/11/2007 07:00:00 AM +0000,India,Rishikesh,landslide,Landslide,Rain,0,0,Unknown,Medium,Birbhaddar,2.00924,Uttarakhand,,37475,34.0123,77.9988
POINT (77.58000000000011 34.18000000000009),696,12/16/2007,12,Dec,Kashmir 2007,2007,47,12/16/2007 08:00:00 AM +0000,India,"Leh , Jammu and Kashmir",landslide,Landslide,Rain,13,0,Known_within_15_km,Medium,Leh,1.69993,Kashmir,,8341,32.4035,77.5796
POINT (88.35000000000016 27.166700000000073),700,9/9/2007,9,Sep,Sikkim 2007,2007,458.6,09/09/2007 07:00:00 AM +0000,India,Hingdam village in South Sikkim,landslide,Landslide,Rain,1,0,Known_within_50_km,Medium,Namchi,1.61449,Sikkim,,25758,25.8833,91.2
POINT (73.83620000000015 15.506300000000081),701,9/7/2007,9,Sep,Goa 2007,2007,609,09/07/2007 07:00:00 AM +0000,India,"NH-17, Panaji to Mapusa on Old Mandovi bridge, Goa",landslide,Landslide,Rain,8,0,Known_within_5_km,Medium,Panaji,1.58349,Goa,,2571,30.6509,79.0264
POINT (88.60690000000014 27.338300000000086),709,5/23/2007,5,May,Sikkim 2007,2007,215.1,05/23/2007 07:00:00 AM +0000,India,"Pangthang, on road b/t Gangtok and North Sikkim",landslide,Landslide,Rain,0,0,Known_within_50_km,Medium,Gangtok,1.48585,Sikkim,,12871,24.7679,93.4108
POINT (75.36100000000012 11.855000000000086),717,7/20/2007,7,Jul,Kerala 2007,2007,966.3,07/20/2007 07:00:00 AM +0000,India,4 locations in the Kannur district,landslide,Landslide,Downpour,0,0,Known_within_10_km,Medium,Cannanore,1.43277,Kerala,,223523,24.8142,93.5444
POINT (73.82770000000012 15.401400000000038),718,7/28/2007,7,Jul,Goa 2007,2007,841.3,07/28/2007 07:00:00 AM +0000,India,Vasco,landslide,Landslide,Rain,0,0,Known_within_5_km,Medium,Vasco Da Gama,1.42927,Goa,,92113,25.318,94.0441
POINT (75.22570000000015 33.24510000000007),727,8/6/2007,8,Aug,Kashmir 2007,2007,196.8,08/06/2007 07:00:00 AM +0000,India,"Srinagar-Jammu Highway, Ramban District",landslide,Landslide,Rain,0,0,Known_within_25_km,Medium,Ramban,1.36072,Kashmir,,1495,31.4582,78.2114
POINT (88.26360000000014 27.040000000000102),737,9/5/2007,9,Sep,Bengal 2007,2007,458.6,09/05/2007 07:00:00 AM +0000,India,Darjeeling Hills (Lebong - 10 km from Darjeeling,landslide,Landslide,Rain,15,0,Known_within_15_km,Medium,Darjiling,0.79891,Bengal,,92113,25.3179,94.0462
POINT (76.26650000000014 32.098500000000094),746,8/12/2007,8,Aug,Himachal Pradesh 2007,2007,234.3,08/12/2007 07:00:00 AM +0000,India,Kangra,landslide,Landslide,Rain,2,0,Known_within_15_km,Large,Kangra,1.0057,Himachal Pradesh,,17103,24.7543,93.5039
POINT (76.69530000000012 11.404600000000084),750,10/26/2007,10,Oct,Tamil Nadu 2007,2007,248.9,10/26/2007 07:00:00 AM +0000,India,"Nilgiri, Nondimedu on the Ooty-Coonoor road",landslide,Landslide,Rain,0,0,Known_within_15_km,Large,Ooty,0.97335,Tamil Nadu,,223523,25.1555,93.8474
POINT (90.23200000000017 25.521200000000103),753,7/27/2007,7,Jul,Meghalaya 2007,2007,682.7,07/27/2007 07:00:00 AM +0000,India,Tura,landslide,Rockfall,Rain,8,0,Known_within_10_km,Large,Tura,0.94369,Meghalaya,,15118,25.31,94.4986
POINT (88.27890000000016 26.890500000000056),763,8/2/2007,8,Aug,Bengal 2007,2007,412.4,08/02/2007 07:00:00 AM +0000,India,Kurseong,landslide,Mudslide,Rain,3,0,Known_within_15_km,Medium,Karsiyang,0.89953,Bengal,,15118,25.31,94.4986
POINT (78.82050000000011 14.470200000000048),766,6/25/2007,6,Jun,Andhra Pradesh 2007,2007,208.2,06/25/2007 07:00:00 AM +0000,India,Cuddappa,landslide,Landslide,Rain,0,0,Known_within_15_km,Medium,Cuddapah,0.87095,Andhra Pradesh,,1495,31.4551,78.1996
POINT (75.23100000000012 33.24200000000011),774,5/8/2007,5,May,Kashmir 2007,2007,65.6,05/08/2007 07:00:00 AM +0000,India,"Jammu-Srinagar hwy, Samarouli in Ramban district",landslide,Landslide,Rain,0,0,Known_within_50_km,Medium,Ramban,0.79654,Kashmir,,2571,30.6326,78.9953
POINT (80.21670000000015 29.583300000000094),784,9/6/2007,9,Sep,Uttarakhand 2007,2007,325.6,09/06/2007 07:00:00 AM +0000,India,Pithoragarh,landslide,Landslide,Rain,0,0,Known_within_15_km,Large,Pithoragarh,0.70042,Uttarakhand,,7528,24.3527,94.3429
POINT (79.56000000000013 30.5570000000001),792,7/30/2007,7,Jul,Uttarakhand 2007,2007,522.9,07/30/2007 07:00:00 AM +0000,India,Joshimath,landslide,Landslide,Downpour,0,0,Known_within_50_km,Medium,Joshamath,0.6405,Uttarakhand,,13865,30.9013,79.5322
POINT (88.28330000000014 26.8833000000001),796,9/7/2007,9,Sep,Bengal 2007,2007,458.6,09/07/2007 07:00:00 AM +0000,India,"Darjeeling Hills, multiple villages in area (Kurseong, Kalimpong, Bhalukopa, Kukhleinkhani)",landslide,Landslide,Rain,0,0,Known_within_25_km,Medium,Karsiyang,0.6035,Bengal,,3962,24.3069,93.125
POINT (78.43900000000015 30.73300000000009),804,7/30/2007,7,Jul,Uttarakhand 2007,2007,522.9,07/30/2007 07:00:00 AM +0000,India,Uttarkashi district,landslide,Landslide,Downpour,2,0,Known_within_50_km,Medium,Uttarkashi,0.54749,Uttarakhand,,17123,30.9015,78.7756
POINT (91.27000000000012 25.520000000000064),823,9/11/2007,9,Sep,Meghalaya 2007,2007,494.7,09/11/2007 07:00:00 AM +0000,India,"Assam-Agartala National Highway, Sonarpur in Jayantiya hills of Meghalaya",landslide,Landslide,Rain,0,0,Unknown,Medium,Nongstoin,0.4599,Meghalaya,,7331,30.0718,80.2369
POINT (88.34030000000016 22.646100000000068),843,8/31/2007,8,Aug,Bengal 2007,2007,412.4,08/31/2007 07:00:00 AM +0000,India,between Bally Halt and Rajchandrapur stations in Kolkata,landslide,Landslide,Rain,0,0,Known_within_10_km,Medium,Bali,0.28925,Bengal,,7331,30.0712,80.2386
POINT (75.23950000000015 33.239500000000106),870,7/2/2007,7,Jul,Kashmir 2007,2007,132.4,07/02/2007 07:00:00 AM +0000,India,Ramban,landslide,Landslide,Downpour,0,0,Known_within_5_km,Medium,Ramban,0.16739,Kashmir,,1464,27.8385,88.556
POINT (78.31500000000014 31.587000000000078),24,9/19/2008,9,Sep,Himachal Pradesh 2008,2008,142.6,09/19/2008 07:00:00 AM +0000,India,"NH 22, Kinnaur district",landslide,Landslide,Downpour,0,0,Known_within_50_km,Medium,Diyag,47.68123,Himachal Pradesh,,223523,25.1333,93.9667
POINT (83.18090000000015 19.51780000000004),42,5/18/2008,5,May,Orissa 2008,2008,37.4,05/18/2008 07:00:00 AM +0000,India,"Kalahandi district of Orissa, Depur village",landslide,Landslide,Mining_digging,5,0,Unknown,Medium,Bhawanipatna,43.1759,Orissa,,0,31.5986,78.4384
POINT (77.26650000000014 34.21900000000008),90,3/30/2008,3,Mar,Kashmir 2008,2008,9.9,03/30/2008 07:00:00 AM +0000,India,Biama area of Khalsi tehsil in Leh district,landslide,Landslide,Rain,2,0,Known_within_50_km,Medium,Leh,29.87319,Kashmir,,31978,34.6113,74.9499
POINT (75.60500000000015 12.644500000000063),127,8/10/2008,8,Aug,Karnataka 2008,2008,886.3,08/10/2008 07:00:00 AM +0000,India,Edakumeri near Subrahmanya,landslide,Landslide,Downpour,0,0,Known_within_50_km,Medium,Sulya,24.89116,Karnataka,,223523,24.8286,93.5935
POINT (91.25000000000014 26.33330000000009),135,10/29/2008,10,Oct,Assam 2008,2008,133.4,10/29/2008 07:00:00 AM +0000,India,"Kamrup, and Sonitpur, Assam",landslide,Landslide,Downpour,7,0,Known_within_50_km,Medium,Barpeta,24.35615,Assam,,0,31.645,78.4354
POINT (74.63260000000015 33.65490000000009),183,10/22/2008,10,Oct,Kashmir 2008,2008,42.4,10/22/2008 07:00:00 AM +0000,India,Mughal Road at Lal Ghulam Pahari (25 km from Shopian),landslide,Landslide,Downpour,2,0,Known_within_50_km,Medium,Shupayan,19.9238,Kashmir,,7331,29.9964,80.201
POINT (77.08000000000011 30.700000000000074),205,9/22/2008,9,Sep,Haryana 2008,2008,114.5,09/22/2008 07:00:00 AM +0000,India,"Ghaggar, Morni, Panchkula",landslide,Landslide,Rain,0,0,Known_within_15_km,Medium,Pinjaur,18.83135,Haryana,,7750,34.2946,75.4832
POINT (75.74540000000015 33.14630000000009),210,5/1/2008,5,May,Kashmir 2008,2008,63.3,05/01/2008 07:00:00 AM +0000,India,"Kishtwar-Chatroo road, Kishtwar region of Jammu and Kashmir",landslide,Complex,Unknown,12,0,Known_within_25_km,Medium,Doda,18.59541,Kashmir,,17123,30.7666,78.7963
POINT (93.82750000000014 24.933600000000094),219,6/19/2008,6,Jun,Manipur 2008,2008,327.4,06/19/2008 07:00:00 AM +0000,India,"Namkaoluang village, Tamenglong-Sangrung (Khongsang) road, NH-53, Manipur",landslide,Mudslide,Monsoon,0,0,Known_within_25_km,Medium,Imphal,18.23429,Manipur,,5026,30.1719,80.8576
POINT (92.84110000000013 24.984900000000064),224,5/20/2008,5,May,Assam 2008,2008,210.6,05/20/2008 07:00:00 AM +0000,India,"A Cachar District village, near village of Srinager, Assam",landslide,Mudslide,Mining_digging,5,0,Known_within_50_km,Medium,Silchar,17.99274,Assam,,92113,25.3833,94.1884
POINT (75.66000000000015 12.84500000000004),244,8/12/2008,8,Aug,Karnataka 2008,2008,886.3,08/12/2008 07:00:00 AM +0000,India,Yedakumeri-Shiribagilu in the Hassan-Mangalore section of the line.,landslide,Landslide,Rain,0,0,Known_within_50_km,Medium,Sakleshpur,17.06892,Karnataka,,8160,31.0826,78.066
POINT (92.35000000000016 27.40000000000006),252,10/29/2008,10,Oct,Arunachal Pradesh 2008,2008,115.1,10/29/2008 07:00:00 AM +0000,India,"West Kameng, Arunachal Pradesh",landslide,Mudslide,Downpour,12,0,Known_within_50_km,Medium,Bomdila,16.71177,Arunachal Pradesh,,223523,24.8029,93.6228
POINT (75.72000000000016 25.080000000000066),256,8/10/2008,8,Aug,Rajasthan 2008,2008,167.9,08/10/2008 07:00:00 AM +0000,India,"Gaiparnath Mahadev temple, foothills of Chambal ravines",landslide,Landslide,Rain,2,0,Known_within_50_km,Medium,Kota,16.52868,Rajasthan,,7176,25.0672,93.4093
POINT (77.24660000000013 32.37120000000008),292,6/18/2008,6,Jun,Himachal Pradesh 2008,2008,187.3,06/18/2008 07:00:00 AM +0000,India,"Manali-Leh road, Gulaba near Rohtang Pass",landslide,Landslide,Rain,0,0,Known_within_25_km,Medium,Manali,14.31619,Himachal Pradesh,,8364,25.5125,93.3613
POINT (74.81220000000015 14.229000000000056),303,8/12/2008,8,Aug,Karnataka 2008,2008,886.3,08/12/2008 07:00:00 AM +0000,India,"Jog Falls, Karnataka",landslide,Mudslide,Rain,0,0,Known_within_5_km,Small,Siddapur,13.86243,Karnataka,,50206,18.2807,83.0394
POINT (94.00000000000016 27.163000000000096),319,8/14/2008,8,Aug,Assam 2008,2008,508.6,08/14/2008 07:00:00 AM +0000,India,"Kimin-Ziro road in Papum Pare district, road between Doimukh and Sagalee, Doimukh-Hoj road; Arunachal Pradesh",landslide,Landslide,Rain,0,0,Known_within_50_km,Medium,North Lakhimpur,13.00939,Assam,,50206,18.2733,83.0645
POINT (77.95300000000012 30.52000000000007),330,9/1/2008,9,Sep,Uttarakhand 2008,2008,190.8,09/01/2008 07:00:00 AM +0000,India,"Kempty Fall, Uttarakhand",landslide,Landslide,Rain,0,0,Known_within_10_km,Medium,Mussoorie,12.01992,Uttarakhand,,47419,9.5207,77.0198
POINT (77.12000000000013 31.000000000000085),379,8/14/2008,8,Aug,Himachal Pradesh 2008,2008,224.7,08/14/2008 07:00:00 AM +0000,India,"Shimla, Mandi, Solan and Sirmaur districts",landslide,Complex,Monsoon,0,0,Unknown,Medium,Solan,10.1903,Himachal Pradesh,,7725,31.0188,78.4129
POINT (75.45200000000013 13.986000000000061),399,8/12/2008,8,Aug,Karnataka 2008,2008,886.3,08/12/2008 07:00:00 AM +0000,India,"Ayanur near Neriya, Karnataka",landslide,Landslide,Downpour,0,0,Known_within_10_km,Large,Kumsi,9.44301,Karnataka,,7725,31.0188,78.4129
POINT (94.04000000000016 25.705000000000066),440,8/7/2008,8,Aug,Nagaland 2008,2008,358.6,08/07/2008 07:00:00 AM +0000,India,"National Highway-39, Dimapur-Imphal road and another under Kiphire district of Nagaland",landslide,Landslide,Downpour,0,0,Known_within_10_km,Medium,Kohima,7.87804,Nagaland,,37475,34.219,77.2665
POINT (77.19300000000013 31.207700000000074),442,6/3/2008,6,Jun,Himachal Pradesh 2008,2008,187.3,06/03/2008 07:00:00 AM +0000,India,Hindustan-Tibet National Highway near Matiana village,landslide,Landslide,Rain,0,0,Known_within_25_km,Medium,Seoni,7.79832,Himachal Pradesh,,13865,30.7991,79.4356
