the_geom,OBJECTID,date no time,Month-num,Month,Helper,Year,Rainfall in mm,date_,country,nearest_pl,hazard_typ,landslide_,trigger,fatalities,injuries,location_a,landslide1,near,distance,State,,population,latitude,longitude
POINT (88.36510000000013 27.167500000000103),807,9/16/2012,9,Sep,Sikkim 2012,2012,434.7,09/16/2012 07:00:00 AM +0000,India,"Namchi to Phongla, Namchi to Melli ,Namchi to Sumbuk",landslide,Landslide,Downpour,0,0,Known_within_5_km,Medium,Namchi,0.52839,Sikkim,,522081,30.3069,78.0169
POINT (75.23400000000011 33.24100000000007),810,2/22/2012,2,Feb,Kashmir 2012,2012,95.8,02/22/2012 08:00:00 AM +0000,India,"Ramban district, Srinagar-Jammu Highway (Khooni Nallah, Higni and Panthal)",landslide,Landslide,Downpour,0,0,Known_within_25_km,Medium,Ramban,0.50933,Kashmir,,42309,29.3802,79.4633
POINT (80.21230000000016 29.579800000000063),817,3/4/2012,3,Mar,Uttarakhand 2012,2012,28.1,03/04/2012 08:00:00 AM +0000,India,"Pithoragarh district, Uttarakhand",landslide,Landslide,Unknown,2,0,Known_within_10_km,Medium,Pithoragarh,0.4923,Uttarakhand,,42309,29.3802,79.4633
POINT (75.5488000000001 33.146700000000095),838,4/16/2012,4,Apr,Kashmir 2012,2012,86.6,04/16/2012 07:00:00 AM +0000,India,"Gandoh, Doda district, Jammu",landslide,Landslide,Unknown,1,0,Known_within_10_km,Medium,Doda,0.33885,Kashmir,,6755,34.0942,74.0226
POINT (75.52270000000011 32.368200000000094),841,2/15/2012,2,Feb,Kashmir 2012,2012,95.8,02/15/2012 08:00:00 AM +0000,India,Surjan village in Bani mountainous belt in Kathua district (,landslide,Landslide,Downpour,0,0,Known_within_15_km,Medium,Kathua,0.32689,Kashmir,,40283,30.895,77.089
POINT (74.83330000000014 33.08290000000008),860,8/20/2012,8,Aug,Kashmir 2012,2012,264.9,08/20/2012 07:00:00 AM +0000,India,"Reasi, kashmir",landslide,Landslide,Downpour,1,0,Known_within_1_km,Medium,Riasi,0.21102,Kashmir,,27611,30.3797,78.5017
POINT (75.23730000000013 33.240700000000096),862,1/12/2012,1,Jan,Kashmir 2012,2012,150.9,01/12/2012 08:00:00 AM +0000,India,"Shatani Nallah, Ramban District",landslide,Landslide,Downpour,0,0,Known_within_10_km,Medium,Ramban,0.20466,Kashmir,,874587,16.5157,80.6525
POINT (76.93120000000012 31.70900000000009),863,8/24/2012,8,Aug,Himachal Pradesh 2012,2012,280.6,08/24/2012 07:00:00 AM +0000,India,"Mandi, Himachal Pradesh,",landslide,Landslide,Downpour,0,0,Known_within_5_km,Medium,Mandi,0.20096,Himachal Pradesh,,228745,18.431,79.1492
POINT (75.2381000000001 33.24240000000006),864,2/4/2012,2,Feb,Kashmir 2012,2012,95.8,02/04/2012 08:00:00 AM +0000,India,"Jawahar Tunnel-Patnitop stretch in Ramban district, Jammu-Srinagar highway",landslide,Landslide,Downpour,0,0,Known_within_15_km,Medium,Ramban,0.19996,Kashmir,,27489,23.9304,88.2374
POINT (75.2381000000001 33.24130000000006),874,4/24/2012,4,Apr,Kashmir 2012,2012,86.6,04/24/2012 07:00:00 AM +0000,India,"Srinagar-Jammu Highway, Ramban, jammu",landslide,Landslide,Downpour,0,0,Known_within_5_km,Medium,Ramban,0.13125,Kashmir,,899094,26.1964,91.7652
